@relation PGA_Data_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
288,296,-0.94,0.61,-0.61,0.05,0.04,-0.9,6
288,294,-1.06,0.1,0.75,-0.19,0.66,-0.4,6
288,286,0.65,0.61,-0.19,0.52,0.95,1.6,2
288,295,0.1,-0.41,-0.64,0.29,-0.76,-0.65,6
288,293,-0.02,0.64,0.1,-0.87,-0.13,-0.15,6
288,292,0.67,0.87,-1.14,-0.3,-0.57,0.1,5
288,287,0.68,0.52,0.31,-0.17,0.67,1.35,3
288,282,1.09,0.67,0.73,0.11,1.51,2.6,1
288,290,0.34,0.87,0.46,-1.07,0.26,0.6,4
288,291,0.86,0.34,-0.35,-0.51,-0.51,0.35,5
288,290,-0.44,0.61,0.46,-0.03,1.04,0.6,4
288,290,0.1,-0.24,0.63,0.11,0.5,0.6,4
288,285,-0.53,0.42,1.12,0.84,2.38,1.85,2
288,281,1.09,0.26,0.79,0.7,1.76,2.85,1
288,287,0.3,0.8,0.69,-0.45,1.05,1.35,3
288,294,-0.48,0.85,-0.64,-0.13,0.08,-0.4,6
288,296,-0.8,-0.28,0.01,0.16,-0.1,-0.9,6
288,303,-0.73,-0.61,-0.54,-0.78,-1.92,-2.65,6
288,284,0.38,0.15,0.91,0.66,1.72,2.1,1
288,285,0.35,0.94,0.1,0.46,1.49,1.85,2
288,289,0.18,0.5,0.32,-0.15,0.67,0.85,4
288,291,0.81,-0.52,0,0.06,-0.46,0.35,5
288,282,0.06,0.4,1.48,0.65,2.54,2.6,1
288,294,0,0.17,-0.55,-0.03,-0.4,-0.4,6
288,293,1.46,-1.49,-0.22,0.1,-1.61,-0.15,6
288,290,0.03,1.07,0.04,-0.54,0.57,0.6,4
288,282,0.37,-0.13,1.19,1.16,2.23,2.6,1
288,286,-0.35,0.7,1.88,-0.63,1.95,1.6,2
280,281,-0.58,0.04,1.49,-0.33,1.2,0.62,4
280,277,1.08,0.98,-0.1,-0.34,0.54,1.62,2
280,289,-0.6,-0.34,-0.05,-0.39,-0.78,-1.38,6
280,280,0.01,1.13,-0.39,0.13,0.86,0.87,3
280,282,0.39,-0.76,0.54,0.2,-0.02,0.37,4
280,280,0.94,0.07,-0.24,0.11,-0.07,0.87,3
280,278,-0.25,0.56,0.68,0.39,1.63,1.37,3
280,285,-0.12,0.01,0.82,-1.09,-0.26,-0.38,6
280,272,1.33,0.49,0.39,0.66,1.54,2.87,1
280,277,0.92,-0.57,1.3,-0.03,0.71,1.62,2
280,275,0.52,0.47,0.81,0.33,1.6,2.12,1
280,287,-1.53,-0.54,0.95,0.24,0.65,-0.88,6
280,277,0.54,0.63,0.03,0.42,1.08,1.62,2
280,282,-0.86,0.21,1.41,-0.39,1.23,0.37,4
280,284,0.75,-0.74,0.54,-0.68,-0.88,-0.13,6
280,280,-0.55,0.41,0.41,0.6,1.42,0.87,3
280,279,-0.53,0.96,0.53,0.17,1.66,1.12,3
280,281,0.23,-0.23,0.34,0.28,0.39,0.62,4
280,279,1.67,0.73,-0.91,-0.37,-0.54,1.12,3
280,283,0.55,-0.38,0.02,-0.06,-0.42,0.12,5
280,280,1.22,0.01,-0.1,-0.25,-0.35,0.87,3
280,273,0.51,0.28,1.91,-0.09,2.11,2.62,1
280,286,-0.83,-0.15,0.06,0.29,0.2,-0.63,6
280,295,-0.39,0.22,-1.28,-1.42,-2.48,-2.88,6
280,280,0.4,0.61,0.09,-0.23,0.47,0.87,3
280,282,1.29,0.12,-1.31,0.28,-0.92,0.37,4
280,286,-0.42,-0.46,0.37,-0.12,-0.2,-0.63,6
280,276,-0.32,0.93,0.88,0.38,2.19,1.87,2
280,288,-0.86,-1.23,0.45,0.51,-0.27,-1.13,6
280,275,0.06,1.11,0.13,0.83,2.07,2.12,1
280,282,-0.43,0.49,-0.27,0.58,0.8,0.37,4
280,275,0.34,0.79,1.96,-0.97,1.78,2.12,1
280,282,-0.26,0.77,0.71,-0.85,0.63,0.37,4
280,282,-1.51,-0.23,1.77,0.34,1.89,0.37,4
280,283,0.1,0.83,-0.63,-0.18,0.02,0.12,5
280,281,0.97,-1.1,0.77,-0.02,-0.35,0.62,4
280,279,0.46,0.39,0.14,0.14,0.67,1.12,3
280,284,0.26,0.1,-0.11,-0.38,-0.39,-0.13,6
280,276,-0.25,0.3,1.58,0.24,2.12,1.87,2
280,285,0.4,-0.68,-0.07,-0.03,-0.78,-0.38,6
280,275,-0.18,0.48,0.79,1.04,2.3,2.12,1
280,285,-0.05,0.74,-1.13,0.06,-0.33,-0.38,6
280,282,0.44,0.75,-0.29,-0.53,-0.07,0.37,4
280,284,1.6,-0.11,-0.81,-0.81,-1.73,-0.13,6
280,283,0.02,-0.65,1.18,-0.43,0.1,0.12,5
280,276,1.48,0.56,-0.43,0.26,0.39,1.87,2
280,275,0.51,0.66,0.88,0.09,1.62,2.12,1
280,281,0.34,-0.52,0.37,0.43,0.28,0.62,4
280,285,0.28,0.78,-0.48,-0.96,-0.66,-0.38,6
280,277,0.73,0.48,0.38,0.04,0.9,1.62,2
280,282,0.62,-0.87,-0.09,0.72,-0.25,0.37,4
280,284,0.09,0.6,-0.6,-0.22,-0.22,-0.13,6
280,271,1.26,0.18,0.97,0.71,1.86,3.12,1
280,277,-0.72,1.05,0.64,0.66,2.35,1.62,2
280,283,0.82,-0.5,-0.29,0.09,-0.7,0.12,5
280,271,0.14,0.58,1.37,1.03,2.98,3.12,1
280,273,0.94,-0.15,1.94,-0.11,1.68,2.62,1
280,285,-0.2,-0.05,0,-0.13,-0.17,-0.38,6
280,277,0.84,0.59,0.36,-0.17,0.78,1.62,2
280,273,0.77,0.01,1.23,0.62,1.85,2.62,1
